journalId,journalTitle,journalAuthors,citedJournalId,citedJournalTitle,citedJournalAuthors
"160cc5811d4f6d66dfc00a23149dde92d6de2ed1","Construction of Irregular QC-LDPC Codes in Near-Earth Communications","Hui Zhao,Xiaoxiao Bao,Liang Qin,Ruyan Wang,Hong Zhang","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"23565067e6500eefd037d48389f7c83e2c8250c3","Forced Convergence Decoding of LDPC Codes ??Åg EXIT Chart Analysis and Combination with Node Complexity Reduction Techniques","Ernesto Zimmermann,Wolfgang Rave,Gerhard Fettweis","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"b1ed6835d40f2a733bd7f90f1055c2caffc270b2","High Throughput Random Access via Codes on Graphs: Coded Slotted ALOHA","Enrico Paolini,Gianluigi Liva,Marco Chiani","c66a4d21447c76c30b7c0e0739dacccdbc6a59fb","Generalized and doubly generalized LDPC codes with random component codes for the binary erasure channel","Enrico Paolini,Marc P. C. Fossorier,Marco Chiani"
"471f4915299aef0e0a74206af6a79efd34a194ae","A Novel Approach to Built an Area Efficient Architecture for Block Ldpc Codes","M Devika","c9257d782ba57d62e0ec4a1200527a4cc0ed2855","On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit","Sae-Young Chung,G. David Forney,Thomas J. Richardson,R??diger L. Urbanke"
"37cc3cebbe2563090c23db0d41e7f98fce5625c9","Finding the Exhaustive List of Small Fully Absorbing Sets and Designing the Corresponding Low Error-Floor Decoder","Gyu Bum Kyung,Chih-Chun Wang","5483ab5506c6e2671f1666171d42ebb43fa30faf","A General Method for Finding Low Error Rates of LDPC Codes","Chad A. Cole,Stephen G. Wilson,Eric K. Hall,Thomas R. Giallorenzi"
"8cfc38a00ae3443820e0ea3245d5303bcc1674f3","Single and Multiple Antenna Communication Systems: Performance Analysis and Joint Source-channel Coding","Firouz Behnamfar,Steve Blostein,Lorne Campbell","c9257d782ba57d62e0ec4a1200527a4cc0ed2855","On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit","Sae-Young Chung,G. David Forney,Thomas J. Richardson,R??diger L. Urbanke"
"8e7d90595c04f4cf8ec390c2b1ff4ae94cda16e5","Coherent continuous-phase frequency-shift keying: Parameter optimization and code design","Shi Cheng,Matthew C. Valenti,Don J. Torrieri","eed3f554de512c32e1d9d2743648668ec5d008f2","A more accurate one-dimensional analysis and design of irregular LDPC codes","Masoud Ardakani,Frank R. Kschischang"
"8e7d90595c04f4cf8ec390c2b1ff4ae94cda16e5","Coherent continuous-phase frequency-shift keying: Parameter optimization and code design","Shi Cheng,Matthew C. Valenti,Don J. Torrieri","c9257d782ba57d62e0ec4a1200527a4cc0ed2855","On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit","Sae-Young Chung,G. David Forney,Thomas J. Richardson,R??diger L. Urbanke"
"1fc561c7291b1548ae3df36ba6ca074b41f5a88c","Polar Codes: Characterization of Exponent, Bounds, and Constructions","Satish Babu Korada,Eren Sasoglu,R??diger L. Urbanke","6d39087dc4c819bf48d47e5dddc0619f116c70a0","Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels","Erdal Arikan"
"4d07810da3049177a4a2889c09da851eec3705e5","Compressive Coded Modulation for Seamless Rate Adaptation","Hao Cui,Chong Luo,Jun Wu,Chang Wen Chen,Feng Wu","0698e451ea91ea5df2e9c9c096d16b729d8e1a6c","Spinal codes","Jonathan Perry,Peter Iannucci,Kermin Fleming,Hari Balakrishnan,Devavrat Shah"
"033f30ed4bd5e056276c63997a721ea4c02cf808","Capacity-Achieving Rateless Polar Codes","Bin Li,David Tse,Kai Chen,Hui Shen","6d39087dc4c819bf48d47e5dddc0619f116c70a0","Channel polarization: A method for constructing capacity-achieving codes for symmetric binary-input memoryless channels","Erdal Arikan"
